epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202213,2022-03-27,738,RO,,11,state,391943,21817.5189,156,7172,0,0.0183,1796460,True,False
202213,2022-03-27,737,RR,,14,state,155062,24566.96257,0,2144,0,0.0138,631181,False,True
202213,2022-03-27,748,RS,,43,state,2263880,19818.65842,933,38985,0,0.0172,11422973,True,False
202213,2022-03-27,746,SC,,42,state,1671175,23042.73753,205,21648,0,0.013,7252502,True,False
202213,2022-03-27,744,SE,,28,state,325274,14027.55365,190,6309,2,0.0194,2318822,True,False
202213,2022-03-27,762,SP,,35,state,5232374,11303.62799,3961,167110,3,0.0319,46289333,True,False
202213,2022-03-27,740,TO,,17,state,302502,19022.31602,0,4142,0,0.0137,1590248,False,True
202212,2022-03-26,740,AC,,12,state,123777,13838.02699,1,1992,0,0.0161,894470,False,False
202212,2022-03-26,749,AL,,27,state,295972,8830.91758,56,6869,3,0.0232,3351543,True,False
202212,2022-03-26,744,AM,,13,state,581042,13808.97086,33,14151,1,0.0244,4207714,False,False
202212,2022-03-26,737,AP,,16,state,160321,18603.623,7,2122,0,0.0132,861773,False,False
202212,2022-03-26,751,BA,,29,state,1529008,10240.74396,0,29656,0,0.0194,14930634,False,True
202212,2022-03-26,741,CE,,23,state,1239702,13493.93819,72,26699,3,0.0215,9187103,False,False
202212,2022-03-26,750,DF,,53,state,691353,22629.10909,0,11573,0,0.0167,3055149,False,True
202212,2022-03-26,752,ES,,32,state,1037086,25518.52191,727,14323,4,0.0138,4064052,False,False
202212,2022-03-26,745,GO,,52,state,1269683,17848.8207,2185,26208,5,0.0206,7113540,False,False
202212,2022-03-26,737,MA,,21,state,424136,5961.48932,198,10868,1,0.0256,7114598,False,False
202212,2022-03-26,749,MG,,31,state,3317059,15578.4109,3215,60741,24,0.0183,21292666,False,False
202212,2022-03-26,743,MS,,50,state,523565,18636.22546,177,10486,4,0.02,2809394,True,False
202212,2022-03-26,737,MT,,51,state,724279,20539.81317,370,14853,1,0.0205,3526220,False,False
202212,2022-03-26,739,PA,,15,state,751002,8641.39956,384,18078,3,0.0241,8690745,False,False
202212,2022-03-26,745,PB,,25,state,594358,14714.46499,412,10187,2,0.0171,4039277,False,False
202212,2022-03-26,745,PE,,26,state,891284,9268.16186,2284,21355,10,0.024,9616621,False,False
202212,2022-03-26,738,PI,,22,state,367515,11199.6721,4,7721,1,0.021,3281480,True,False
202212,2022-03-26,745,PR,,41,state,2407125,20900.91553,1734,42894,11,0.0178,11516840,False,False
202212,2022-03-26,752,RJ,,33,state,2078648,11969.51156,3461,72650,34,0.035,17366189,False,False
202212,2022-03-26,745,RN,,24,state,495749,14027.33036,136,8119,1,0.0164,3534165,True,False
202212,2022-03-26,737,RO,,11,state,391787,21808.83515,805,7172,3,0.0183,1796460,False,False
202212,2022-03-26,736,RR,,14,state,155062,24566.96257,13,2144,0,0.0138,631181,True,False
202212,2022-03-26,747,RS,,43,state,2262947,19810.49067,3195,38985,15,0.0172,11422973,False,False
202212,2022-03-26,745,SC,,42,state,1670970,23039.91092,1846,21648,3,0.013,7252502,False,False
202212,2022-03-26,743,SE,,28,state,325084,14019.35983,181,6307,2,0.0194,2318822,False,False
202212,2022-03-26,761,SP,,35,state,5228413,11295.07094,7177,167107,61,0.032,46289333,False,False
202212,2022-03-26,739,TO,,17,state,302502,19022.31602,0,4142,0,0.0137,1590248,False,True
202212,2022-03-25,739,AC,,12,state,123776,13837.91519,30,1992,2,0.0161,894470,False,False
202212,2022-03-25,748,AL,,27,state,295916,8829.24671,202,6866,0,0.0232,3351543,False,False
202212,2022-03-25,743,AM,,13,state,581009,13808.18658,39,14150,2,0.0244,4207714,False,False
202212,2022-03-25,736,AP,,16,state,160314,18602.81072,13,2122,0,0.0132,861773,False,False
202212,2022-03-25,750,BA,,29,state,1529008,10240.74396,1016,29656,10,0.0194,14930634,False,False
202212,2022-03-25,740,CE,,23,state,1239630,13493.15448,445,26696,13,0.0215,9187103,False,False
202212,2022-03-25,749,DF,,53,state,691353,22629.10909,339,11573,4,0.0167,3055149,True,False
202212,2022-03-25,751,ES,,32,state,1036359,25500.63336,272,14319,6,0.0138,4064052,False,False
202212,2022-03-25,744,GO,,52,state,1267498,17818.10463,2508,26203,2,0.0207,7113540,False,False
202212,2022-03-25,736,MA,,21,state,423938,5958.70631,334,10867,2,0.0256,7114598,False,False
202212,2022-03-25,748,MG,,31,state,3313844,15563.3118,3169,60717,30,0.0183,21292666,False,False
202212,2022-03-25,742,MS,,50,state,523388,18629.92517,421,10482,2,0.02,2809394,False,False
202212,2022-03-25,736,MT,,51,state,723909,20529.32035,445,14852,0,0.0205,3526220,False,False
202212,2022-03-25,738,PA,,15,state,750618,8636.98106,1092,18075,9,0.0241,8690745,False,False
202212,2022-03-25,744,PB,,25,state,593946,14704.26514,450,10185,2,0.0171,4039277,False,False
202212,2022-03-25,744,PE,,26,state,889000,9244.41132,1763,21345,12,0.024,9616621,False,False
202212,2022-03-25,737,PI,,22,state,367511,11199.5502,21,7720,1,0.021,3281480,False,False
202212,2022-03-25,744,PR,,41,state,2405391,20885.85932,1405,42883,14,0.0178,11516840,False,False
202212,2022-03-25,751,RJ,,33,state,2075187,11949.58203,3273,72616,25,0.035,17366189,False,False
202212,2022-03-25,744,RN,,24,state,495613,14023.48221,431,8118,1,0.0164,3534165,False,False
202212,2022-03-25,736,RO,,11,state,390982,21764.0248,1180,7169,5,0.0183,1796460,False,False
202212,2022-03-25,735,RR,,14,state,155049,24564.90294,76,2144,0,0.0138,631181,False,False
202212,2022-03-25,746,RS,,43,state,2259752,19782.52072,3359,38970,20,0.0172,11422973,False,False
202212,2022-03-25,744,SC,,42,state,1669124,23014.45763,2175,21645,3,0.013,7252502,False,False
202212,2022-03-25,742,SE,,28,state,324903,14011.55414,192,6305,1,0.0194,2318822,False,False
202212,2022-03-25,760,SP,,35,state,5221236,11279.56629,9300,167046,91,0.032,46289333,False,False
202212,2022-03-25,738,TO,,17,state,302502,19022.31602,59,4142,0,0.0137,1590248,True,False
202212,2022-03-24,738,AC,,12,state,123746,13834.56125,9,1990,0,0.0161,894470,False,False
202212,2022-03-24,747,AL,,27,state,295714,8823.21963,195,6866,6,0.0232,3351543,False,False
202212,2022-03-24,742,AM,,13,state,580970,13807.25971,69,14148,0,0.0244,4207714,False,False
202212,2022-03-24,735,AP,,16,state,160301,18601.3022,13,2122,0,0.0132,861773,False,False
202212,2022-03-24,749,BA,,29,state,1527992,10233.93916,1165,29646,11,0.0194,14930634,False,False
202212,2022-03-24,739,CE,,23,state,1239185,13488.31073,674,26683,0,0.0215,9187103,False,False
202212,2022-03-24,748,DF,,53,state,691014,22618.01307,297,11569,3,0.0167,3055149,False,False
202212,2022-03-24,750,ES,,32,state,1036087,25493.94053,132,14313,0,0.0138,4064052,False,False
202212,2022-03-24,743,GO,,52,state,1264990,17782.84792,3152,26201,20,0.0207,7113540,False,False
202212,2022-03-24,735,MA,,21,state,423604,5954.01174,439,10865,2,0.0256,7114598,False,False
202212,2022-03-24,747,MG,,31,state,3310675,15548.42874,3922,60687,49,0.0183,21292666,False,False
202212,2022-03-24,741,MS,,50,state,522967,18614.93973,580,10480,0,0.02,2809394,False,False
202212,2022-03-24,735,MT,,51,state,723464,20516.7006,536,14852,1,0.0205,3526220,False,False
202212,2022-03-24,737,PA,,15,state,749526,8624.41597,1236,18066,5,0.0241,8690745,False,False
202212,2022-03-24,743,PB,,25,state,593496,14693.12454,591,10183,2,0.0172,4039277,False,False
202212,2022-03-24,743,PE,,26,state,887237,9226.07847,2335,21333,15,0.024,9616621,False,False
202212,2022-03-24,736,PI,,22,state,367490,11198.91025,49,7719,1,0.021,3281480,False,False
202212,2022-03-24,743,PR,,41,state,2403986,20873.65979,2277,42869,12,0.0178,11516840,False,False
202212,2022-03-24,750,RJ,,33,state,2071914,11930.73506,3558,72591,35,0.035,17366189,False,False
202212,2022-03-24,743,RN,,24,state,495182,14011.28697,526,8117,1,0.0164,3534165,False,False
202212,2022-03-24,735,RO,,11,state,389802,21698.34007,841,7164,7,0.0184,1796460,False,False
202212,2022-03-24,734,RR,,14,state,154973,24552.86202,17,2144,0,0.0138,631181,False,False
202212,2022-03-24,745,RS,,43,state,2256393,19753.11506,3651,38950,21,0.0173,11422973,False,False
202212,2022-03-24,743,SC,,42,state,1666949,22984.46798,1839,21642,4,0.013,7252502,False,False
202212,2022-03-24,741,SE,,28,state,324711,14003.27408,178,6304,1,0.0194,2318822,False,False
202212,2022-03-24,759,SP,,35,state,5211936,11259.47527,8953,166955,112,0.032,46289333,False,False
202212,2022-03-24,737,TO,,17,state,302443,19018.6059,56,4142,0,0.0137,1590248,False,False
202212,2022-03-23,737,AC,,12,state,123737,13833.55507,27,1990,0,0.0161,894470,False,False
202212,2022-03-23,746,AL,,27,state,295519,8817.40142,100,6860,5,0.0232,3351543,False,False
202212,2022-03-23,741,AM,,13,state,580901,13805.61987,55,14148,0,0.0244,4207714,False,False
202212,2022-03-23,734,AP,,16,state,160288,18599.79368,13,2122,0,0.0132,861773,False,False
202212,2022-03-23,748,BA,,29,state,1526827,10226.13641,1170,29635,9,0.0194,14930634,False,False
202212,2022-03-23,738,CE,,23,state,1238511,13480.97436,1604,26683,6,0.0215,9187103,False,False
202212,2022-03-23,747,DF,,53,state,690717,22608.29177,304,11566,4,0.0167,3055149,False,False
202212,2022-03-23,749,ES,,32,state,1035955,25490.69254,521,14313,2,0.0138,4064052,False,False
202212,2022-03-23,742,GO,,52,state,1261838,17738.53806,5257,26181,22,0.0207,7113540,False,False
202212,2022-03-23,734,MA,,21,state,423165,5947.84133,537,10863,2,0.0257,7114598,False,False
202212,2022-03-23,746,MG,,31,state,3306753,15530.00925,5110,60638,37,0.0183,21292666,False,False
202212,2022-03-23,740,MS,,50,state,522387,18594.29471,417,10480,6,0.0201,2809394,False,False
202212,2022-03-23,734,MT,,51,state,722928,20501.50019,584,14851,0,0.0205,3526220,False,False
202212,2022-03-23,736,PA,,15,state,748290,8610.19395,986,18061,3,0.0241,8690745,False,False
202212,2022-03-23,742,PB,,25,state,592905,14678.49321,504,10181,3,0.0172,4039277,False,False
202212,2022-03-23,742,PE,,26,state,884902,9201.7976,2149,21318,13,0.0241,9616621,False,False
202212,2022-03-23,735,PI,,22,state,367441,11197.41702,133,7718,0,0.021,3281480,False,False
202212,2022-03-23,742,PR,,41,state,2401709,20853.88874,1822,42857,27,0.0178,11516840,False,False
202212,2022-03-23,749,RJ,,33,state,2068356,11910.24697,4688,72556,22,0.0351,17366189,False,False
202212,2022-03-23,742,RN,,24,state,494656,13996.40368,527,8116,0,0.0164,3534165,False,False
202212,2022-03-23,734,RO,,11,state,388961,21651.52578,460,7157,4,0.0184,1796460,False,False
202212,2022-03-23,733,RR,,14,state,154956,24550.16865,53,2144,0,0.0138,631181,False,False
